game_name,release_date,price,estimated_downloads,primary_tag
Idle Colony,2024-12-16,3.59,54500,Automation
Rift Riff,2025-05-09,3.99,8400,Strategy
SCP: Fragmented Minds,2025-01-27,4.99,39100,Early Access
FlyKnight,2025-01-31,3.59,357100,Souls-like
Touhou ~Red Empress Devil.,2025-03-07,4.99,14100,Roguelike
Auto Rogue,2025-05-23,3.99,7300,Roguelike
Janosik 2,2024-12-09,4.49,1300,Action
World of Football,2024-11-20,4.99,4200,Sports
Italian Brainrot: In Prison,2025-05-25,1.0,280,Survival
A Game About Digging A Hole,2025-02-07,2.99,807700,Adventure
From The Past,2025-01-18,2.99,2600,Horror
Mystic Rest Stop,2025-01-12,2.49,1600,Horror
她杀 - The Suspected Murder,2025-02-14,4.99,1700,Puzzle
The Boba Teashop,2025-04-21,2.99,14100,Horror
Fight School Simulator,2025-02-19,2.99,13500,Simulation
Car Mechanic Shop Simulator,2025-03-05,2.99,4800,Simulation
Security: The Horrible Nights,2024-11-12,2.99,9200,Horror
Tales Beyond The Tomb - The Farm's Secret,2024-12-22,2.99,3300,Adventure
Silverpine Creek,2025-03-25,3.99,1100,Simulation
Kraken City,2024-12-10,2.99,3900,Sexual Content
Subway Exorcist Girl,2025-01-25,2.99,8300,Horror
Genesis Survivors,2024-12-10,2.99,3000,Early Access
Dream Cage,2025-02-06,4.49,6500,Horror
CrimeBot 2: Unsolved Cold Case,2024-12-05,4.99,1000,Adventure
Psionic Sentry : Infinite,2025-02-02,2.99,4100,Anime
Bao Bao' Laundromat,2025-03-06,2.49,10500,Cute
Snakecremental,2025-04-22,2.49,15200,Management
Gym Camp Simulator,2025-05-24,2.99,1000,Simulation
EvilSlayer,2025-04-30,2.49,1300,Anime
Once Upon A Mind - A Little Too Friendly,2025-05-14,2.49,2100,Horror
The Demon Lord's Daughter and the Tower of Seals,2025-01-25,1.5,5100,RPG
Broventure: The Wild Co-op,2025-05-15,2.99,19400,Action
MUBOSAMA,2024-11-13,2.99,1200,Adventure
Temporal Purge: Z,2025-05-26,2.99,990,Survival
Barro F25,2025-04-11,4.4,630,Driving
Frog Bard,2025-04-07,1.99,660,Adventure
Letifer,2025-04-17,2.49,1400,Early Access
Digseum,2024-12-09,1.99,165800,Management
Hypnosis of Corruption,2024-12-07,1.0,10400,RPG
Dodgy Deliveries,2025-01-31,0.0,49900,Horror
Chaotic Conflicts,2024-12-07,1.49,2000,Action
Synthwave Driver,2025-05-20,1.99,720,Early Access
The motel,2025-01-24,1.49,2900,Adventure
Bit-Cremental: Fishistry,2024-12-13,1.99,930,2D
The Great Yokai of the Haunted Halls,2025-01-18,1.5,2300,RPG
THE LAST TRAIN: Baquedano,2025-05-15,1.99,5100,Adventure
Texas Hold'em Poker: Pokerist,2025-02-18,0.0,125900,Card Game
Your Sister,2025-04-27,0.89,330,Anime
Скуф на рыбалке,2025-04-10,0.89,48500,Simulation
100 Forest Cats,2025-05-18,0.89,1200,Puzzle
SKIBIDI GYATROOMS,2025-01-20,1.49,9900,Horror
Cats Hidden in Japan,2025-02-24,0.89,6800,Cute
BLOODSAINT,2024-12-05,0.89,2500,2D
Bomb Royale,2024-12-02,4.99,4900,Strategy
Maid Cafe on Electric Street,2024-11-18,9.89,30600,RPG
MEMOLOGY 2: OLD TIMES,2025-03-03,0.89,7300,RPG
101 Cats Hidden in Cancun,2025-04-12,0.89,690,Cute
